label,sepal_length (cm),sepal_width (cm)
not setosa,5.1,3.5
not setosa,4.9,3.0
not setosa,4.7,3.2
not setosa,4.6,3.1
not setosa,5.0,3.6
not setosa,5.4,3.9
not setosa,4.6,3.4
not setosa,5.0,3.4
not setosa,4.4,2.9
not setosa,4.9,3.1
not setosa,5.4,3.7
not setosa,4.8,3.4
not setosa,4.8,3.0
not setosa,4.3,3.0
not setosa,5.8,4.0
not setosa,5.7,4.4
not setosa,5.4,3.9
not setosa,5.1,3.5
not setosa,5.7,3.8
not setosa,5.1,3.8
not setosa,5.4,3.4
not setosa,5.1,3.7
not setosa,4.6,3.6
not setosa,5.1,3.3
not setosa,4.8,3.4
not setosa,5.0,3.0
not setosa,5.0,3.4
not setosa,5.2,3.5
not setosa,5.2,3.4
not setosa,4.7,3.2
not setosa,4.8,3.1
not setosa,5.4,3.4
not setosa,5.2,4.1
not setosa,5.5,4.2
not setosa,4.9,3.1
not setosa,5.0,3.2
not setosa,5.5,3.5
not setosa,4.9,3.6
not setosa,4.4,3.0
not setosa,5.1,3.4
not setosa,5.0,3.5
not setosa,4.5,2.3
not setosa,4.4,3.2
not setosa,5.0,3.5
not setosa,5.1,3.8
not setosa,4.8,3.0
not setosa,5.1,3.8
not setosa,4.6,3.2
not setosa,5.3,3.7
not setosa,5.0,3.3
setosa,7.0,3.2
setosa,6.4,3.2
setosa,6.9,3.1
setosa,5.5,2.3
setosa,6.5,2.8
setosa,5.7,2.8
setosa,6.3,3.3
setosa,4.9,2.4
setosa,6.6,2.9
setosa,5.2,2.7
setosa,5.0,2.0
setosa,5.9,3.0
setosa,6.0,2.2
setosa,6.1,2.9
setosa,5.6,2.9
setosa,6.7,3.1
setosa,5.6,3.0
setosa,5.8,2.7
setosa,6.2,2.2
setosa,5.6,2.5
setosa,5.9,3.2
setosa,6.1,2.8
setosa,6.3,2.5
setosa,6.1,2.8
setosa,6.4,2.9
setosa,6.6,3.0
setosa,6.8,2.8
setosa,6.7,3.0
setosa,6.0,2.9
setosa,5.7,2.6
setosa,5.5,2.4
setosa,5.5,2.4
setosa,5.8,2.7
setosa,6.0,2.7
setosa,5.4,3.0
setosa,6.0,3.4
setosa,6.7,3.1
setosa,6.3,2.3
setosa,5.6,3.0
setosa,5.5,2.5
setosa,5.5,2.6
setosa,6.1,3.0
setosa,5.8,2.6
setosa,5.0,2.3
setosa,5.6,2.7
setosa,5.7,3.0
setosa,5.7,2.9
setosa,6.2,2.9
setosa,5.1,2.5
setosa,5.7,2.8
setosa,6.3,3.3
setosa,5.8,2.7
setosa,7.1,3.0
setosa,6.3,2.9
setosa,6.5,3.0
setosa,7.6,3.0
setosa,4.9,2.5
setosa,7.3,2.9
setosa,6.7,2.5
setosa,7.2,3.6
setosa,6.5,3.2
setosa,6.4,2.7
setosa,6.8,3.0
setosa,5.7,2.5
setosa,5.8,2.8
setosa,6.4,3.2
setosa,6.5,3.0
setosa,7.7,3.8
setosa,7.7,2.6
setosa,6.0,2.2
setosa,6.9,3.2
setosa,5.6,2.8
setosa,7.7,2.8
setosa,6.3,2.7
setosa,6.7,3.3
setosa,7.2,3.2
setosa,6.2,2.8
setosa,6.1,3.0
setosa,6.4,2.8
setosa,7.2,3.0
setosa,7.4,2.8
setosa,7.9,3.8
setosa,6.4,2.8
setosa,6.3,2.8
setosa,6.1,2.6
setosa,7.7,3.0
setosa,6.3,3.4
setosa,6.4,3.1
setosa,6.0,3.0
setosa,6.9,3.1
setosa,6.7,3.1
setosa,6.9,3.1
setosa,5.8,2.7
setosa,6.8,3.2
setosa,6.7,3.3
setosa,6.7,3.0
setosa,6.3,2.5
setosa,6.5,3.0
setosa,6.2,3.4
setosa,5.9,3.0
